User_ID,Signup_Date,Acquisition_Channel,Device,City,City_Tier,Age_Group,KYC_Status,First_Investment,Investment_Amount,Referral_Status,Session_Count,Last_Active_Date,Retention_Days,Revenue,Churn_Status
JAR100065,2026-01-15,Influencer,iOS,Ahmedabad,Tier 2/3,35-44,In Progress,No,0.0,None,34,2026-04-09,84,24.33,Churned
JAR100066,2026-03-04,Google Ads,Android,Lucknow,Tier 2/3,25-34,Verified,No,0.0,None,22,2026-06-28,116,0.0,Active
JAR100067,2026-06-07,Organic,Android,Ahmedabad,Tier 2/3,45+,Verified,No,0.0,None,1,2026-06-08,1,0.0,Churned
JAR100068,2025-10-22,Google Ads,Android,Bengaluru,Tier 1,35-44,In Progress,No,0.0,None,50,2026-06-04,225,12.18,Active
JAR100069,2026-05-10,Organic,iOS,Bhopal,Tier 2/3,35-44,Verified,No,0.0,None,6,2026-05-27,17,0.0,Churned
JAR100070,2026-04-25,Organic,Android,Bengaluru,Tier 1,18-24,Verified,No,0.0,Referred Others,9,2026-06-25,61,0.0,Active
JAR100071,2025-08-12,Organic,iOS,Patna,Tier 2/3,18-24,Verified,No,0.0,None,33,2026-06-01,293,8.03,Active
JAR100072,2025-09-11,App Store Search,Android,Surat,Tier 2/3,25-34,Verified,Yes,341.12,None,37,2026-06-09,271,21.61,Active
JAR100073,2025-11-23,Paid Social (Meta/Insta),iOS,Bengaluru,Tier 1,25-34,In Progress,No,0.0,None,33,2026-06-02,191,8.08,Active
JAR100074,2026-05-07,Organic,Android,Delhi NCR,Tier 1,45+,Verified,No,0.0,None,3,2026-05-08,1,0.0,Churned
JAR100075,2026-05-01,App Store Search,Android,Hyderabad,Tier 1,35-44,In Progress,No,0.0,Referred Others,6,2026-05-03,2,0.0,Churned
JAR100076,2025-10-25,Influencer,Android,Bhopal,Tier 2/3,45+,Not Started,No,0.0,None,12,2026-01-31,98,0.0,Churned
JAR100077,2026-04-09,Google Ads,Android,Guwahati,Tier 2/3,25-34,Verified,No,0.0,None,12,2026-05-24,45,0.0,Churned
JAR100078,2025-10-06,Organic,Android,Bengaluru,Tier 1,25-34,In Progress,No,0.0,None,33,2025-12-23,78,6.56,Churned
JAR100079,2025-12-09,Organic,Android,Pune,Tier 1,35-44,In Progress,No,0.0,None,30,2026-02-01,54,3.53,Churned
JAR100080,2025-12-01,Paid Social (Meta/Insta),Android,Mumbai,Tier 1,25-34,Verified,Yes,3994.68,None,10,2026-04-25,145,123.85,Churned
JAR100081,2025-08-12,Google Ads,Android,Delhi NCR,Tier 1,35-44,Verified,No,0.0,None,51,2026-04-02,233,10.8,Churned
JAR100082,2025-10-27,Influencer,Android,Guwahati,Tier 2/3,18-24,Not Started,No,0.0,None,9,2026-03-02,126,0.0,Churned
JAR100083,2025-11-24,Influencer,Android,Guwahati,Tier 2/3,18-24,Rejected,No,0.0,None,9,2026-02-05,73,0.0,Churned
JAR100084,2026-02-17,Google Ads,iOS,Chennai,Tier 1,35-44,In Progress,No,0.0,Referred Others,20,2026-06-28,131,0.0,Active
JAR100085,2025-07-26,Referral,Android,Mumbai,Tier 1,18-24,Not Started,No,0.0,Was Referred,25,2026-01-02,160,0.0,Churned
JAR100086,2026-06-07,Influencer,Android,Ahmedabad,Tier 2/3,25-34,Verified,No,0.0,None,1,2026-06-08,1,0.0,Churned
JAR100087,2025-12-17,Referral,Android,Hyderabad,Tier 1,18-24,Verified,Yes,2438.41,Was Referred,28,2026-02-12,57,35.59,Churned
JAR100088,2025-09-24,Organic,Android,Bhopal,Tier 2/3,18-24,Verified,Yes,1780.01,None,12,2026-05-13,231,98.76,Churned
JAR100089,2025-07-17,Organic,Android,Coimbatore,Tier 2/3,18-24,Verified,No,0.0,None,39,2025-08-07,21,5.8,Churned
JAR100090,2026-06-22,Google Ads,Android,Delhi NCR,Tier 1,25-34,Not Started,No,0.0,None,2,2026-06-30,8,0.0,Active
JAR100091,2025-07-01,Google Ads,Android,Bengaluru,Tier 1,25-34,In Progress,No,0.0,None,60,2026-03-12,254,3.12,Churned
JAR100092,2026-01-02,Referral,Android,Guwahati,Tier 2/3,25-34,Verified,Yes,2044.04,Was Referred,12,2026-06-18,167,62.58,Active
JAR100093,2026-01-26,Organic,Android,Jaipur,Tier 2/3,25-34,Rejected,No,0.0,None,17,2026-06-19,144,0.0,Active
JAR100094,2026-06-23,Organic,Android,Pune,Tier 1,25-34,Verified,Yes,812.64,Referred Others,2,2026-06-23,0,2.71,Active
JAR100095,2026-02-11,App Store Search,iOS,Delhi NCR,Tier 1,25-34,Verified,Yes,801.51,None,15,2026-06-03,112,23.35,Active
JAR100096,2025-11-17,Influencer,Android,Bengaluru,Tier 1,25-34,Verified,No,0.0,None,27,2026-06-18,213,0.0,Active
JAR100097,2026-03-24,App Store Search,Android,Mumbai,Tier 1,25-34,Verified,No,0.0,None,9,2026-04-11,18,0.0,Churned
JAR100098,2025-12-02,Google Ads,Android,Bengaluru,Tier 1,35-44,Rejected,No,0.0,None,33,2026-06-23,203,18.39,Active
JAR100099,2026-01-11,Referral,Android,Kolkata,Tier 2/3,35-44,Verified,No,0.0,Was Referred,21,2026-06-26,166,0.0,Active
JAR100100,2026-04-16,Organic,Android,Jaipur,Tier 2/3,25-34,In Progress,No,0.0,None,18,2026-04-30,14,0.0,Churned
JAR100101,2026-04-27,Paid Social (Meta/Insta),Android,Surat,Tier 2/3,25-34,Verified,No,0.0,Referred Others,7,2026-05-21,24,0.0,Churned
JAR100102,2025-09-03,Organic,Android,Mumbai,Tier 1,18-24,Verified,No,0.0,None,49,2025-11-24,82,5.29,Churned
JAR100103,2026-01-27,Organic,Android,Bengaluru,Tier 1,18-24,Verified,Yes,1888.05,None,28,2026-05-15,108,33.88,Churned
JAR100104,2025-10-26,Referral,iOS,Jaipur,Tier 2/3,35-44,Verified,No,0.0,Was Referred,26,2026-06-29,246,0.0,Active
JAR100105,2025-12-19,Influencer,Android,Chennai,Tier 1,25-34,Verified,No,0.0,Referred Others,16,2026-05-15,147,0.0,Churned
JAR100106,2025-11-07,Paid Social (Meta/Insta),iOS,Patna,Tier 2/3,25-34,Not Started,No,0.0,None,30,2026-04-28,172,13.1,Churned
JAR100107,2025-09-01,Referral,iOS,Chennai,Tier 1,18-24,Not Started,No,0.0,Was Referred,24,2026-06-05,277,0.0,Active
JAR100108,2025-11-07,Paid Social (Meta/Insta),Android,Pune,Tier 1,45+,Verified,Yes,1918.7,Referred Others,19,2026-01-03,57,38.41,Churned
JAR100109,2026-06-01,Organic,Android,Chennai,Tier 1,18-24,In Progress,No,0.0,None,2,2026-06-02,1,0.0,Churned
JAR100110,2026-02-25,Google Ads,iOS,Indore,Tier 2/3,35-44,In Progress,No,0.0,None,13,2026-06-25,120,0.0,Active
JAR100111,2025-08-23,Influencer,Android,Bengaluru,Tier 1,18-24,Verified,No,0.0,None,57,2025-11-30,99,6.47,Churned
JAR100112,2026-01-10,Organic,Android,Bhopal,Tier 2/3,25-34,Verified,No,0.0,None,28,2026-06-19,160,0.0,Active
JAR100113,2025-10-16,Influencer,iOS,Lucknow,Tier 2/3,25-34,Not Started,No,0.0,None,22,2026-06-17,244,0.0,Active
JAR100114,2026-04-25,Paid Social (Meta/Insta),Android,Patna,Tier 2/3,25-34,In Progress,No,0.0,None,2,2026-05-13,18,0.0,Churned
JAR100115,2025-12-17,Organic,Android,Nagpur,Tier 2/3,25-34,Verified,Yes,15053.55,Referred Others,30,2026-06-02,167,508.0,Active
JAR100116,2025-10-16,Referral,iOS,Delhi NCR,Tier 1,18-24,Verified,Yes,476.94,Was Referred,37,2026-06-22,249,16.71,Active
JAR100117,2026-06-05,App Store Search,Android,Ahmedabad,Tier 2/3,18-24,In Progress,No,0.0,Referred Others,3,2026-06-05,0,0.0,Active
JAR100118,2026-05-27,Organic,Android,Chennai,Tier 1,25-34,In Progress,No,0.0,None,10,2026-05-30,3,0.0,Churned
JAR100119,2025-09-09,Paid Social (Meta/Insta),Android,Ahmedabad,Tier 2/3,25-34,Verified,Yes,1617.92,None,32,2026-04-14,217,71.35,Churned
JAR100120,2025-11-16,Google Ads,Android,Bengaluru,Tier 1,18-24,Rejected,No,0.0,None,27,2025-12-04,18,0.0,Churned
JAR100121,2026-04-20,Referral,iOS,Bhopal,Tier 2/3,18-24,Verified,No,0.0,Was Referred,16,2026-05-19,29,0.0,Churned
JAR100122,2026-05-24,Referral,Android,Nagpur,Tier 2/3,35-44,Verified,No,0.0,Was Referred,3,2026-06-10,17,0.0,Active
JAR100123,2026-05-20,Google Ads,Android,Jaipur,Tier 2/3,35-44,Verified,No,0.0,None,4,2026-06-12,23,0.0,Active
JAR100124,2025-08-08,Referral,Android,Delhi NCR,Tier 1,35-44,Verified,Yes,5469.29,Was Referred,47,2026-06-16,312,239.6,Active
JAR100125,2026-03-08,Influencer,iOS,Indore,Tier 2/3,18-24,Verified,Yes,292.74,Referred Others,13,2026-06-24,108,10.52,Active
JAR100126,2026-01-03,Influencer,Android,Lucknow,Tier 2/3,35-44,Verified,No,0.0,None,30,2026-03-10,66,4.23,Churned
JAR100127,2025-11-25,Google Ads,Android,Ahmedabad,Tier 2/3,45+,Verified,No,0.0,None,14,2026-04-02,128,0.0,Churned
JAR100128,2026-02-18,App Store Search,iOS,Mumbai,Tier 1,25-34,Verified,No,0.0,None,21,2026-06-16,118,0.0,Active
JAR100129,2025-09-18,Google Ads,Android,Mumbai,Tier 1,18-24,Verified,Yes,123.35,None,63,2026-06-14,269,12.54,Active
JAR100130,2025-12-03,Influencer,iOS,Kolkata,Tier 2/3,25-34,In Progress,No,0.0,None,27,2026-02-16,75,0.0,Churned
JAR100131,2026-02-09,Google Ads,iOS,Mumbai,Tier 1,25-34,Not Started,No,0.0,None,20,2026-05-19,99,0.0,Churned
JAR100132,2025-09-04,App Store Search,iOS,Lucknow,Tier 2/3,25-34,In Progress,No,0.0,None,25,2025-12-19,106,0.0,Churned
JAR100133,2025-10-21,App Store Search,Android,Delhi NCR,Tier 1,18-24,In Progress,No,0.0,Referred Others,8,2026-06-04,226,0.0,Active
JAR100134,2025-09-24,Google Ads,Android,Bhopal,Tier 2/3,25-34,In Progress,No,0.0,None,20,2026-06-07,256,0.0,Active
JAR100135,2026-02-07,Organic,Android,Bhopal,Tier 2/3,25-34,Verified,No,0.0,None,18,2026-06-04,117,0.0,Active
JAR100136,2026-03-01,Influencer,Android,Delhi NCR,Tier 1,25-34,Verified,Yes,1078.8,Referred Others,17,2026-06-13,104,15.97,Active
JAR100137,2026-01-27,Organic,Android,Bengaluru,Tier 1,25-34,Verified,No,0.0,None,12,2026-05-27,120,0.0,Churned
JAR100138,2025-11-23,Referral,iOS,Kolkata,Tier 2/3,25-34,Verified,Yes,680.47,Was Referred,22,2026-06-15,204,52.03,Active
JAR100139,2025-10-06,Organic,Android,Pune,Tier 1,18-24,Not Started,No,0.0,None,40,2026-06-13,250,13.6,Active
JAR100140,2026-06-19,App Store Search,Android,Mumbai,Tier 1,18-24,In Progress,No,0.0,None,1,2026-06-19,0,0.0,Active
JAR100141,2026-05-27,Referral,Android,Chennai,Tier 1,25-34,Verified,No,0.0,Was Referred,7,2026-06-14,18,0.0,Active
JAR100142,2025-12-21,Influencer,Android,Guwahati,Tier 2/3,25-34,Not Started,No,0.0,None,23,2026-04-03,103,0.0,Churned
JAR100143,2025-12-15,Paid Social (Meta/Insta),iOS,Bengaluru,Tier 1,25-34,Verified,Yes,414.61,Referred Others,17,2025-12-22,7,1.54,Churned
JAR100144,2025-12-05,Organic,Android,Delhi NCR,Tier 1,18-24,Not Started,No,0.0,None,47,2026-06-19,196,21.01,Active
JAR100145,2025-10-16,Paid Social (Meta/Insta),Android,Ahmedabad,Tier 2/3,25-34,Not Started,No,0.0,None,14,2026-06-24,251,0.0,Active
JAR100146,2025-10-03,Influencer,Android,Indore,Tier 2/3,18-24,Verified,No,0.0,Referred Others,16,2026-06-03,243,0.0,Active
JAR100147,2026-03-17,Google Ads,Android,Bengaluru,Tier 1,45+,Not Started,No,0.0,None,10,2026-06-11,86,0.0,Active
JAR100148,2026-06-14,Organic,Android,Lucknow,Tier 2/3,25-34,Verified,No,0.0,None,4,2026-06-21,7,0.0,Active
JAR100149,2026-05-03,Referral,Android,Mumbai,Tier 1,25-34,In Progress,No,0.0,Was Referred,7,2026-06-05,33,0.0,Active
JAR100150,2026-03-05,Influencer,Android,Coimbatore,Tier 2/3,18-24,Verified,No,0.0,None,3,2026-06-25,112,0.0,Active
JAR100151,2026-06-17,Organic,Android,Lucknow,Tier 2/3,25-34,Rejected,No,0.0,None,1,2026-06-17,0,0.0,Active
JAR100152,2026-01-03,Organic,iOS,Pune,Tier 1,18-24,In Progress,No,0.0,Referred Others,18,2026-01-21,18,0.0,Churned
JAR100153,2026-06-20,Organic,Android,Coimbatore,Tier 2/3,25-34,Rejected,No,0.0,None,2,2026-06-28,8,0.0,Active
JAR100154,2025-10-21,Influencer,iOS,Lucknow,Tier 2/3,25-34,Verified,No,0.0,None,9,2026-06-26,248,0.0,Active
JAR100155,2025-09-01,Referral,iOS,Surat,Tier 2/3,25-34,Verified,No,0.0,Was Referred,60,2026-06-06,278,6.21,Active
JAR100156,2025-11-18,Paid Social (Meta/Insta),Android,Delhi NCR,Tier 1,35-44,Verified,No,0.0,None,30,2026-05-08,171,6.06,Churned
JAR100157,2026-01-22,App Store Search,Android,Kolkata,Tier 2/3,18-24,Verified,No,0.0,None,7,2026-06-02,131,0.0,Active
JAR100158,2026-02-08,Google Ads,iOS,Mumbai,Tier 1,18-24,Verified,No,0.0,None,17,2026-03-24,44,0.0,Churned
JAR100159,2025-08-18,Referral,iOS,Coimbatore,Tier 2/3,18-24,Not Started,No,0.0,Was Referred,35,2026-06-26,312,16.21,Active
JAR100160,2026-01-22,Paid Social (Meta/Insta),Android,Chennai,Tier 1,35-44,Rejected,No,0.0,None,13,2026-05-27,125,0.0,Churned
JAR100161,2025-11-27,Organic,Android,Coimbatore,Tier 2/3,18-24,In Progress,No,0.0,Referred Others,8,2026-06-05,190,0.0,Active
JAR100162,2025-10-26,Organic,Android,Mumbai,Tier 1,45+,Verified,No,0.0,None,13,2026-02-19,116,0.0,Churned
JAR100163,2026-03-01,Referral,Android,Mumbai,Tier 1,45+,Verified,Yes,1629.45,Was Referred,20,2026-06-06,97,41.02,Active
JAR100164,2025-09-22,Referral,Android,Lucknow,Tier 2/3,45+,Not Started,No,0.0,Was Referred,23,2026-06-05,256,0.0,Active
JAR100165,2025-11-10,Paid Social (Meta/Insta),Android,Bengaluru,Tier 1,45+,Not Started,No,0.0,None,7,2026-05-27,198,0.0,Churned
JAR100166,2026-04-03,App Store Search,Android,Delhi NCR,Tier 1,18-24,Not Started,No,0.0,None,9,2026-04-16,13,0.0,Churned
JAR100167,2025-10-24,App Store Search,Android,Bhopal,Tier 2/3,25-34,Verified,Yes,1681.24,None,68,2026-06-07,226,136.61,Active
JAR100168,2026-05-26,Organic,iOS,Mumbai,Tier 1,25-34,Rejected,No,0.0,None,5,2026-05-28,2,0.0,Churned
JAR100169,2025-07-04,Influencer,iOS,Hyderabad,Tier 1,25-34,Not Started,No,0.0,None,29,2025-11-07,126,23.05,Churned
JAR100170,2026-04-01,Organic,iOS,Nagpur,Tier 2/3,25-34,Verified,No,0.0,None,12,2026-06-23,83,0.0,Active
JAR100171,2025-08-14,Influencer,Android,Bengaluru,Tier 1,25-34,In Progress,No,0.0,None,18,2026-06-28,318,0.0,Active
JAR100172,2026-04-12,Organic,Android,Pune,Tier 1,35-44,Verified,No,0.0,None,11,2026-05-02,20,0.0,Churned
JAR100173,2026-05-15,App Store Search,iOS,Indore,Tier 2/3,25-34,Not Started,No,0.0,None,4,2026-06-24,40,0.0,Active
JAR100174,2025-11-02,Google Ads,Android,Bhopal,Tier 2/3,25-34,Verified,No,0.0,None,27,2026-06-24,234,0.0,Active
JAR100175,2025-12-22,Organic,Android,Lucknow,Tier 2/3,25-34,Verified,Yes,976.53,Referred Others,19,2026-06-30,190,36.3,Active
JAR100176,2025-11-26,Google Ads,Android,Patna,Tier 2/3,25-34,Rejected,No,0.0,None,15,2026-03-01,95,0.0,Churned
JAR100177,2026-01-22,Influencer,iOS,Bengaluru,Tier 1,18-24,Verified,No,0.0,None,11,2026-04-08,76,0.0,Churned
JAR100178,2026-01-22,Paid Social (Meta/Insta),Android,Bengaluru,Tier 1,18-24,Verified,Yes,7136.89,Referred Others,22,2026-06-27,156,321.55,Active
JAR100179,2025-10-10,Influencer,Android,Surat,Tier 2/3,35-44,Verified,Yes,6435.68,None,14,2026-06-26,259,429.5,Active
JAR100180,2026-04-22,Influencer,Android,Surat,Tier 2/3,18-24,Verified,No,0.0,None,3,2026-05-27,35,0.0,Churned
JAR100181,2026-01-05,Google Ads,iOS,Kolkata,Tier 2/3,18-24,Rejected,No,0.0,None,18,2026-05-23,138,0.0,Churned
JAR100182,2026-01-21,Google Ads,Android,Lucknow,Tier 2/3,18-24,Verified,No,0.0,None,13,2026-06-19,149,0.0,Active
JAR100183,2025-10-12,Paid Social (Meta/Insta),Android,Coimbatore,Tier 2/3,45+,In Progress,No,0.0,None,14,2025-11-19,38,0.0,Churned
JAR100184,2026-01-04,Google Ads,Android,Ahmedabad,Tier 2/3,18-24,Verified,No,0.0,None,18,2026-05-16,132,0.0,Churned
JAR100185,2026-04-20,App Store Search,Android,Nagpur,Tier 2/3,18-24,Not Started,No,0.0,None,4,2026-06-06,47,0.0,Active
JAR100186,2025-11-03,Referral,Android,Lucknow,Tier 2/3,18-24,Not Started,No,0.0,Was Referred,10,2026-06-23,232,0.0,Active
JAR100187,2026-01-20,Organic,Android,Chennai,Tier 1,18-24,Verified,Yes,554.37,None,20,2026-02-10,21,2.38,Churned
JAR100188,2025-08-18,Influencer,iOS,Pune,Tier 1,25-34,Not Started,No,0.0,None,54,2026-06-18,304,11.71,Active
JAR100189,2025-12-19,App Store Search,Android,Surat,Tier 2/3,45+,Rejected,No,0.0,None,10,2026-03-26,97,0.0,Churned
JAR100190,2026-04-19,Organic,Android,Kolkata,Tier 2/3,25-34,Verified,Yes,2869.32,Referred Others,10,2026-06-27,69,70.47,Active
